"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"BGM-0093","Q4","365","16.761643835616439","61.18","55.62","80.33","28.74","2.024","77.05","0.91900000000000004","0.89300000000000002","31.53","271.01400000000001","242.553","102.468","2.1619999999999999"
"BGM-0120","Q1","438","7.2637671232876713","31.815300000000001","86.15","28.583999999999996","10.137","7.5030000000000001","71.043000000000006","0.94099999999999995","0.89100000000000001","11.193999999999999","196.89699999999999","201.97499999999999","101.616","7.9340000000000002"
"BGM-0120","Q2","490","18.911367346938775","92.665700000000001","96.5","47.747","16.675999999999998","1.1899","72.435000000000002","0.92","0.88400000000000001","18.559000000000001","191.56100000000001","190.97800000000001","100.509","1.2816000000000001"
"BGM-0120","Q3","570","15.657859649122805","89.249799999999993","94.56","41.916000000000004","14.806000000000001","1.1407","73.244","0.94399999999999995","0.89100000000000001","16.605","194.04900000000001","198.304","104.008","1.1984999999999999"
"BGM-0120","Q4","484","15.426033057851241","74.661999999999992","75.61","41.332000000000001","14.659000000000001","1.0846","69.813000000000002","0.94","0.89100000000000001","16.317","198.34700000000001","196.23099999999999","106.733","1.1474"
"BGM-0122","Q1","299","57.294314381270901","17.131","46.39","25.108000000000001","89.800000000000011","6.770999999999999","69.293999999999997","0.95","0.89500000000000002","10.02","203.83600000000001","202.57900000000001","100.21299999999999","7.13"
"BGM-0122","Q2","295","13.093999999999999","38.627299999999998","40.22","37.427","13.503","1.0508","70.974000000000004","0.96799999999999997","0.90100000000000002","15.132","196.67500000000001","195.15899999999999","101.032","1.0958000000000001"
"BGM-0122","Q3","464","15.218081896551723","70.611899999999991","74.81","40.994","14.668000000000001","1.1292","77.400999999999996","0.95599999999999996","0.89600000000000002","16.36","197.77799999999999","198.28700000000001","103.48099999999999","1.1782999999999999"
"BGM-0122","Q4","403","16.74317617866005","67.474999999999994","68.33","43.442999999999998","15.443999999999999","1.125","70.997","0.92800000000000005","0.88900000000000001","17.2","204.37700000000001","203.82400000000001","104.35","1.1956"
"BGM-0123","Q1","344","26.274630000000002","76.38","26.099999999999998","29.2","10.01","8","83.13","0.94","0.9","10.91","472.5","472.66399999999999","96.8","8.33"
